ticket_intent,ai_ticket_volume_share_28,ai_agent_tickets_28,success_rate_28,perc_AI_tickets_with_handover_topic_28d,perc_AI_tickets_using_action_28d,perc_AI_tickets_used_knowledge_28d,ai_csat,ai_tickets_scored
Order:Status,0.12984956452889945,164,0.5487804878048781,0.012195121951219513,0.018292682926829267,0.9695121951219512,,
Product:Quality Issues,0.10372129849564529,131,0.3816793893129771,0.183206106870229,0.0,0.816793893129771,,
Warranty:Claim,0.07521773555027712,95,0.29473684210526313,0.12631578947368421,0.0,0.9052631578947369,,
Shipping:Delivered Not Received,0.0665083135391924,84,0.15476190476190477,0.03571428571428571,0.011904761904761904,0.9642857142857143,,
Return:Status,0.06413301662707839,81,0.037037037037037035,0.8395061728395061,0.0,0.16049382716049382,,
Order:Missing Item,0.052256532066508314,66,0.10606060606060606,0.045454545454545456,0.0,0.9545454545454546,,
Exchange:Status,0.04671417260490895,59,0.0,0.4067796610169492,0.0,0.576271186440678,,
Order:Damaged,0.04592240696753761,58,0.06896551724137931,0.29310344827586204,0.0,0.7068965517241379,,
Promotion & Discount:Issue,0.04275534441805225,54,0.2222222222222222,0.14814814814814814,0.0,0.8518518518518519,,
Exchange:Request,0.04275534441805225,54,0.25925925925925924,0.24074074074074073,0.0,0.7962962962962963,,
